,reln_id,reln_type,startNode,endNode,reln_prop_id,reln_contrast_id,reln_task_id,reln_disorder
328,69811,HASCITATION,23669,30448,,,,
329,53519,HASINDICATOR,23669,30222,ind_4c9976aba9677,,,
330,53518,HASINDICATOR,23669,30163,ind_4c9976a01912b,,,
331,53517,HASINDICATOR,23669,30251,ind_4c99735a3af87,,,
332,53516,HASINDICATOR,23669,30089,ind_4c997350b625f,,,
333,43503,ASSERTS,23669,25349,,,,
334,43498,ASSERTS,23669,25508,,,,
335,40670,HASCONTRAST,23669,25925,,,,
336,40669,HASCONTRAST,23669,25924,,,,
337,39995,HASCONDITION,23669,24418,,,,
338,39994,HASCONDITION,23669,24417,,,,
339,70079,HASCITATION,23670,30721,,,,
340,70078,HASCITATION,23670,30720,,,,
341,69765,HASIMPLEMENTATION,23670,30387,,,,
342,53675,HASINDICATOR,23670,30203,ind_4df68166c085b,,,
343,53674,HASINDICATOR,23670,30089,ind_4df68142012dc,,,
344,46335,PARTOF,23670,23764,,,,
345,43790,PARTOF,23670,23671,,,,
346,43534,ASSERTS,23670,25517,,,,
347,43529,ASSERTS,23670,25521,,,,
348,43525,KINDOF,23670,23672,,,,
349,40851,HASCONTRAST,23670,26106,,,,
350,40351,HASCONDITION,23670,24780,,,,
351,70118,HASCITATION,23671,30760,,,,
352,70117,HASCITATION,23671,30759,,,,
353,70116,HASCITATION,23671,30758,,,,
354,53704,HASINDICATOR,23671,30246,ind_4df928aa9e598,,,
355,43799,ASSERTS,23671,25558,,,,
356,43794,ASSERTS,23671,25509,,,,
357,43787,PARTOF,23671,23672,,,,
358,40885,HASCONTRAST,23671,26140,,,,
359,70042,HASCITATION,23672,30683,,,,
360,70041,HASCITATION,23672,30684,,,,
361,53643,HASINDICATOR,23672,30270,ind_4df24cf14e1c0,,,
362,43330,ASSERTS,23672,25124,,,,
363,43325,ASSERTS,23672,25064,,,,
364,42238,PARTOF,23672,23804,,,,
365,40819,HASCONTRAST,23672,26074,,,,
366,70820,HASCITATION,23673,30425,,,,
367,70819,HASCITATION,23673,31443,,,,
368,69810,HASCITATION,23673,30447,,,,
369,53515,HASINDICATOR,23673,30251,ind_4c995eab6da30,,,
370,53514,HASINDICATOR,23673,30089,ind_4c995ea104e82,,,
371,50927,KINDOF,23673,24358,,,,
372,48318,ASSERTS,23673,25744,,,,
373,48298,ASSERTS,23673,25585,,,,
374,48060,PARTOF,23673,23655,,,,
375,45384,ASSERTS,23673,25596,,,,
376,45248,ASSERTS,23673,25481,,,,
377,40668,HASCONTRAST,23673,25923,,,,
378,40667,HASCONTRAST,23673,25922,,,,
379,40175,HASCONDITION,23673,24598,,,,
380,40174,HASCONDITION,23673,24597,,,,
381,70874,HASCITATION,23674,31497,,,,
382,70873,HASCITATION,23674,31496,,,,
383,70136,HASCITATION,23674,30781,,,,
384,70135,HASCITATION,23674,30780,,,,
385,70134,HASCITATION,23674,30779,,,,
386,53718,HASINDICATOR,23674,30192,ind_4dfa4f2959e76,,,
387,50439,ASSERTS,23674,25596,,,,
388,48319,ASSERTS,23674,25744,,,,
389,43948,ASSERTS,23674,25405,,,,
390,43943,ASSERTS,23674,25380,,,,
391,43938,ASSERTS,23674,25157,,,,
392,40900,HASCONTRAST,23674,26155,,,,
393,70875,HASCITATION,23675,31498,,,,
394,70033,HASCITATION,23675,30674,,,,
395,70032,HASCITATION,23675,30673,,,,
396,70031,HASCITATION,23675,30672,,,,
397,69808,HASCITATION,23675,30445,,,,
398,53638,HASINDICATOR,23675,30089,ind_4df13a8323ef5,,,
399,48335,ASSERTS,23675,25745,,,,
400,43270,ASSERTS,23675,25157,,,,
401,43265,ASSERTS,23675,25605,,,,
402,43260,ASSERTS,23675,25517,,,,
403,40815,HASCONTRAST,23675,26070,,,,
404,70316,HASCITATION,23676,30974,,,,
405,70255,HASCITATION,23676,30905,,,,
406,70254,HASCITATION,23676,30904,,,,
407,70253,HASCITATION,23676,30903,,,,
408,53831,HASINDICATOR,23676,30283,ind_4e03829e8f674,,,
409,53830,HASINDICATOR,23676,30102,ind_4e0381a52ffe9,,,
410,53829,HASINDICATOR,23676,30213,ind_4e03813ba5f9e,,,
411,53828,HASINDICATOR,23676,30223,ind_4e03812cf3467,,,
412,44694,ASSERTS,23676,25238,,,,
413,44689,ASSERTS,23676,25599,,,,
414,41087,HASCONTRAST,23676,26343,,,,
415,41052,HASCONTRAST,23676,26308,,,,
416,41051,HASCONTRAST,23676,26307,,,,
417,40163,HASCONDITION,23676,24586,,,,
418,40162,HASCONDITION,23676,24585,,,,
419,70261,HASCITATION,23677,30911,,,,
420,70260,HASCITATION,23677,30910,,,,
421,70259,HASCITATION,23677,30909,,,,
422,53835,HASINDICATOR,23677,30245,ind_4e039081c1131,,,
423,53834,HASINDICATOR,23677,30102,ind_4e038e34d498a,,,
424,44729,ASSERTS,23677,25548,,,,
425,44724,ASSERTS,23677,25381,,,,
426,44719,ASSERTS,23677,25416,,,,
427,41059,HASCONTRAST,23677,26315,,,,
428,41058,HASCONTRAST,23677,26314,,,,
429,41057,HASCONTRAST,23677,26313,,,,
430,41056,HASCONTRAST,23677,26312,,,,
431,40152,HASCONDITION,23677,24575,,,,
432,40151,HASCONDITION,23677,24574,,,,
433,69899,HASCITATION,23678,30542,,,,
434,69898,HASCITATION,23678,30541,,,,
435,53557,HASINDICATOR,23678,30168,ind_4de69c104eedd,,,
436,53556,HASINDICATOR,23678,30172,ind_4de69a36e3bea,,,
437,40707,HASCONTRAST,23678,25962,,,,
438,70264,HASCITATION,23679,30914,,,,
439,70263,HASCITATION,23679,30913,,,,
440,70262,HASCITATION,23679,30912,,,,
441,69958,HASCITATION,23679,30600,,,,
442,53838,HASINDICATOR,23679,30223,ind_4e0399b11bc6a,,,
443,53837,HASINDICATOR,23679,30141,ind_4e03997944703,,,
444,53836,HASINDICATOR,23679,30102,ind_4e039971e8cdf,,,
445,44734,ASSERTS,23679,25349,,,,
446,41060,HASCONTRAST,23679,26316,,,,
447,40770,HASCONTRAST,23679,26025,,,,
448,70496,HASCITATION,23680,30996,,,,
449,69916,HASCITATION,23680,30559,,,,
450,69915,HASCITATION,23680,30558,,,,
451,69914,HASCITATION,23680,30557,,,,
452,53567,HASINDICATOR,23680,30217,ind_4de6caf60c9aa,,,
